Count,Population_pair,Samples,Initial_SNP,MAF_filter_SNP,Filtered_SNP,LR_accuracy,LR_f1score,LR_kappa,UMAP_LR_accuracy,UMAP_LR_f1score,UMAP_LR_kappa,PCA_LR_accuracy,PCA_LR_f1score,PCA_LR_kappa
18,BFgam_GNgam,132.0,4836295,203447,106226,0.7407407407407407,0.6600823045267489,0.1674008810572687,0.6666666666666666,0.5629629629629629,-0.07048458149779746,0.7407407407407407,0.6600823045267489,0.1674008810572687
19,BFgam_GW,183.0,4836295,204333,113845,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,BFgam_KE,140.0,4836295,205403,41730,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,BFgam_UGgam,204.0,4836295,204547,113718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,AOcol_CIcol,149.0,4836295,207682,45620,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,AOcol_CMgam,178.0,4836295,205542,74009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,AOcol_GAgam,147.0,4836295,227616,18086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,AOcol_GHcol,133.0,4836295,199242,41676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,AOcol_GM,143.0,4836295,206985,37138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,AOcol_GNgam,118.0,4836295,201758,35277,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,AOcol_GW,169.0,4836295,210052,66730,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,AOcol_KE,126.0,4836295,208538,5304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,AOcol_UGgam,190.0,4836295,210194,74205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,CIcol_CMgam,171.0,4836295,201711,105937,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,CIcol_GAgam,140.0,4836295,232069,34586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,CIcol_GHcol,126.0,4836295,214330,67923,1.0,1.0,1.0,0.4230769230769231,0.2515592515592515,0.0,1.0,1.0,1.0
34,CIcol_GM,136.0,4836295,216401,72602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,CIcol_GNgam,111.0,4836295,204304,81889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,CIcol_GW,162.0,4836295,208239,96149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,CIcol_KE,119.0,4836295,207263,12374,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,CIcol_UGgam,183.0,4836295,205603,103564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,CMgam_GAgam,169.0,4836295,222474,64123,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,CMgam_GHcol,155.0,4836295,204446,111487,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,CMgam_GM,165.0,4836295,207508,104545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,CMgam_GNgam,140.0,4836295,209639,114800,0.75,0.6713947990543735,0.1694915254237288,0.7857142857142857,0.7597402597402596,0.38235294117647056,0.7142857142857143,0.5952380952380951,0.0
43,CMgam_GW,191.0,4836295,202630,115326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,CMgam_KE,148.0,4836295,204786,48208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,CMgam_UGgam,212.0,4836295,202990,114098,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,GAgam_GHcol,124.0,4836295,224908,28847,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,GAgam_GM,134.0,4836295,228423,25672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,GAgam_GNgam,109.0,4836295,229276,21907,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,GAgam_GW,160.0,4836295,228793,58792,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,GAgam_KE,117.0,4836295,226255,2122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,GAgam_UGgam,181.0,4836295,217045,64608,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,GHcol_GM,120.0,4836295,222296,72816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,GHcol_GNgam,95.0,4836295,207485,89347,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,GHcol_GW,146.0,4836295,211816,100367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,GHcol_KE,103.0,4836295,192718,6764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,GHcol_UGgam,167.0,4836295,208680,106948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,GM_GNgam,105.0,4836295,214643,70905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,GM_GW,156.0,4836295,217306,85053,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,GM_KE,113.0,4836295,203831,5650,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,GM_UGgam,177.0,4836295,211461,102301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,GNgam_GW,131.0,4836295,204755,105699,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,GNgam_KE,88.0,4836295,183370,2712,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63,GNgam_UGgam,152.0,4836295,204857,107170,0.8709677419354839,0.8546236559139785,0.5974025974025974,1.0,1.0,1.0,0.8387096774193549,0.80995917428555,0.4709897610921502
64,GW_KE,139.0,4836295,209134,37633,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,GW_UGgam,203.0,4836295,205850,112664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66,KE_UGgam,160.0,4836295,210881,48242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
